age_rating_s,age rating s,健全
zombie_pose,zombie pose,ゾンビポーズ
green_leotard,green leotard,緑のレオタード
kantoku,kantoku,カントク
warspite_(kantai_collection),warspite (kantai collection),warspite（艦隊コレクション）
aoki_hagane_no_arpeggio,aoki hagane no arpeggio,アルペジオがないハガネ青木
rider_(fate/zero),rider (fate/zero),ライダー（運命/ゼロ）
suiseiseki,suiseiseki,翠星石
afloat,afloat,浮かんで
jar,jar,びん
breastless_clothes,breastless clothes,breastless服
ranma_1/2,ranma 1/2,らんま1/2
shrug_(clothing),shrug (clothing),肩をすくめる（衣類）
multiple_wings,multiple wings,複数の翼
whiskers,whiskers,髭
finger_in_mouth,finger in mouth,口の中に指
pangya,pangya,スカッとゴルフパンヤ
three-dimensional_maneuver_gear,three-dimensional maneuver gear,三次元機動ギア
jumpsuit,jumpsuit,ジャンプスーツ
thong_leotard,thong leotard,ひもレオタード
pokemon_oras,pokemon oras,ポケモンoras
no_nipples,no nipples,何の乳首ません
brave_witches,brave witches,勇敢な魔女
shushing,shushing,shushing
uzuki_(kantai_collection),uzuki (kantai collection),卯月（艦隊コレクション）
suitcase,suitcase,スーツケース
puppet,puppet,傀儡
wild_arms,wild arms,ワイルドアームズ
off-shoulder_sweater,off-shoulder sweater,オフショルダーのセーター
rubber_boots,rubber boots,ゴム長靴
spaulders,spaulders,スポールダー
oboro_(kantai_collection),oboro (kantai collection),朧（艦隊コレクション）
galaxy_angel,galaxy angel,ギャラクシーエンジェル
undertale,undertale,undertale
transformers,transformers,トランスフォーマー
cat_ear_panties,cat ear panties,猫の耳のパンティー
tail_bow,tail bow,尾の弓
crow,crow,烏
pink_bodysuit,pink bodysuit,ピンクのボディスーツ
hiding,hiding,隠蔽
raising_heart,raising heart,心を高めます
vocaloid_append,vocaloid append,VOCALOID APPEND
guro,guro,九老
utau,utau,うたいます
scope,scope,範囲
shared_scarf,shared scarf,共有スカーフ
stylus,stylus,スタイラス
uneven_eyes,uneven eyes,ムラの目
open_dress,open dress,開いている服
jack_the_ripper_(fate/apocrypha),jack the ripper (fate/apocrypha),ジャックリッパー（運命/外典）
bokeh,bokeh,ボケ味
holding_bottle,holding bottle,ボトル保持
fisheye,fisheye,魚眼レンズ
anal_tail,anal tail,肛門の尾
dd_(ijigendd),dd (ijigendd),DD（ijigendd）
baozi,baozi,包子
pink_lipstick,pink lipstick,ピンクの口紅
spoken_blush,spoken blush,口語赤面
irisviel_von_einzbern,irisviel von einzbern,irisvielフォンeinzbern
mochi,mochi,餅
crotch_rope,crotch rope,股縄
vita,vita,ヴィータ
2011,2011,2011
azumanga_daiou,azumanga daiou,あずまんが大王大王
skirt_tug,skirt tug,スカートのタグボート
crack,crack,亀裂
senran_kagura_shoujo-tachi_no_shin'ei,senran kagura shoujo-tachi no shin'ei,senran神楽少女-たちのshin'ei
charlotte_e_yeager,charlotte e yeager,シャーロットのE・イェーガー
bass_guitar,bass guitar,ベースギター
ufo,ufo,UFO
policewoman,policewoman,婦警
glaring,glaring,まぶしいです
iesupa,iesupa,iesupa
pant_suit,pant suit,パンツスーツ
grabbing_own_ass,grabbing own ass,自分のお尻をつかん
fetal_position,fetal position,胎児の位置
gundam_seed_destiny,gundam seed destiny,ガンダムSEED DESTINY
black_kimono,black kimono,黒の着物
unbuttoned_shirt,unbuttoned shirt,ボタンを外しシャツ
sakurauchi_riko,sakurauchi riko,sakurauchiりこ
egyptian,egyptian,エジプト
explosive,explosive,爆発的
5koma,5koma,5koma
banner,banner,バナー
takanashi_rikka,takanashi rikka,高梨リッカイン
wide_ponytail,wide ponytail,広いポニーテール
skirt_around_one_leg,skirt around one leg,一本の足の周りのスカート
makinami_mari_illustrious,makinami mari illustrious,真希波・マリ・イラストリアス
cow_horns,cow horns,牛角
burning_eye,burning eye,燃える目
aldnoah.zero,aldnoah.zero,aldnoah.zero
pink_leotard,pink leotard,ピンクのレオタード
black_bikini_top,black bikini top,黒のビキニトップ
dragon's_crown,dragon's crown,ドラゴンズクラウン
dizzy,dizzy,めまいが
brand_name_imitation,brand name imitation,ブランド名の模倣
shop,shop,ショップ
shino_(ponjiyuusu),shino (ponjiyuusu),SHINO（ponjiyuusu）
3,3,3
splatoon_2,splatoon 2,スプラトゥーン2
yellow_sclera,yellow sclera,黄色強膜
koizumi_itsuki,koizumi itsuki,小泉五木
ritual_baton,ritual baton,儀式バトン
striped_tail,striped tail,ストライプテール
akaza_akari,akaza akari,あかりakaza
squirrel_ears,squirrel ears,リスの耳
satoshi_(pokemon),satoshi (pokemon),サトシ（ポケモン）
starfish,starfish,海星
idolmaster_2,idolmaster 2,アイドルマスター2
pokemon_rse,pokemon rse,ポケモンRSE
in_tree,in tree,ツリーに
orange_hairband,orange hairband,オレンジ色のヘアバンド
pink_hairband,pink hairband,ピンクのヘアバンド
masao,masao,正男
nude_cover,nude cover,ヌードカバー
tail_raised,tail raised,尾上げ
fingers_together,fingers together,一緒に指
lightning_bolt,lightning bolt,稲妻
kujikawa_rise,kujikawa rise,kujikawa上昇
houjou_satoko,houjou satoko,北条聡子
perrine_h_clostermann,perrine h clostermann,ペリーヌ・クロステルマン
christa_renz,christa renz,クリスタRENZ
ribbed_dress,ribbed dress,リブ付きドレス
against_glass,against glass,ガラスに対する
yua_(checkmate),yua (checkmate),YUA（チェックメイト）
black_sweater,black sweater,黒いセーター
usami_sumireko,usami sumireko,宇佐美sumireko
business_suit,business suit,スーツ
naganami_(kantai_collection),naganami (kantai collection),naganami（艦隊コレクション）
spitroast,spitroast,spitroast
speaker,speaker,スピーカー
boy_on_top,boy on top,上部の少年
purple_hat,purple hat,紫の帽子
tone_(kantai_collection),tone (kantai collection),トーン（艦隊コレクション）
sagging_breasts,sagging breasts,たるみの胸
kuromorimine_military_uniform,kuromorimine military uniform,kuromorimine軍服
fashion,fashion,ファッション
loose_belt,loose belt,緩いベルト
akuma_homura,akuma homura,悪魔ほむら
yamakaze_(kantai_collection),yamakaze (kantai collection),yamakaze（艦隊コレクション）
noumi_kudryavka,noumi kudryavka,能美クドリャフカ
bikini_lift,bikini lift,ビキニリフト
gyaru,gyaru,ギャル
kagerou_(kantai_collection),kagerou (kantai collection),蜉蝣（艦隊コレクション）
blade,blade,刃
ears,ears,耳
hisahiko,hisahiko,hisahiko
pokemon_special,pokemon special,ポケモンの特殊
yahari_ore_no_seishun_lovecome_wa_machigatteiru.,yahari ore no seishun lovecome wa machigatteiru.,yahariは青春lovecome WA machigatteiru鉱石ません。
pole,pole,ポール
food_print,food print,食品の印刷
jealous,jealous,嫉妬
project_diva_(series),project diva (series),プロジェクトディーヴァ（シリーズ）
aria,aria,アリア
tuxedo,tuxedo,タキシード
saenai_heroine_no_sodatekata,saenai heroine no sodatekata,saenaiにはsodatekataをヒロインません
scissor_blade,scissor blade,鋏ブレード
mutsuki_(kantai_collection),mutsuki (kantai collection),むつき（艦隊コレクション）
room,room,ルーム
on_couch,on couch,ソファの上
miniboy,miniboy,miniboy
red_shorts,red shorts,赤いショートパンツ
common_raccoon_(kemono_friends),common raccoon (kemono friends),共通アライグマ（獣の友人）
hiro_(darling_in_the_franxx),hiro (darling in the franxx),ヒロ（franxxで最愛の人）
red_wings,red wings,赤い翼
shoe_dangle,shoe dangle,靴ちらつか
shovel,shovel,シャベル
abstract,abstract,概要
plaid_neckwear,plaid neckwear,チェック柄のネックウェアー
holding_stuffed_animal,holding stuffed animal,ぬいぐるみを保持します
love_plus,love plus,ラブプラス
egg_vibrator,egg vibrator,卵バイブレーター
kirino_ranmaru,kirino ranmaru,桐野蘭丸
nami_(one_piece),nami (one piece),ナミ（ワンピース）
panda,panda,パンダ
candy_apple,candy apple,リンゴあめ
kyoukaisenjou_no_horizon,kyoukaisenjou no horizon,kyoukaisenjou何地平線ません
jun'you_(kantai_collection),jun'you (kantai collection),jun'you（艦隊コレクション）
red_pants,red pants,赤パンツ
mascara,mascara,マスカラ
hand_on_thigh,hand on thigh,太ももに手
telephone_pole,telephone pole,電話ポール
green_nails,green nails,グリーンネイル
stained_glass,stained glass,ステンドグラス
jakuzure_nonon,jakuzure nonon,jakuzure NONON
gas_mask,gas mask,ガスマスク
sigh,sigh,はぁ
rubber_duck,rubber duck,ゴム製のアヒル
white_capelet,white capelet,白capelet
amagi_brilliant_park,amagi brilliant park,天城華麗な公園
faceless_female,faceless female,顔のない女性
vivio,vivio,ヴィヴィオ
towel_around_neck,towel around neck,首にタオル
kannagi,kannagi,かんなぎ
i-8_(kantai_collection),i-8 (kantai collection),I-8（艦隊コレクション）
waist_cape,waist cape,ウエスト岬
look-alike,look-alike,そっくり
blue_fire,blue fire,青い火
shoe_soles,shoe soles,靴底
throwing,throwing,投げ
squirrel_tail,squirrel tail,リスの尻尾
multiple_crossover,multiple crossover,複数のクロスオーバー
paint,paint,ペイント
kaenbyou_rin_(cat),kaenbyou rin (cat),kaenbyou RIN（猫）
print_skirt,print skirt,プリントスカート
battle_tendency,battle tendency,戦闘潮流
nitocris_(fate/grand_order),nitocris (fate/grand order),ニートクリス（運命/壮大順）
kenzaki_makoto,kenzaki makoto,kenzaki誠
kay_(girls_und_panzer),kay (girls und panzer),ケイ（女の子ウントパンツァー）
reizei_mako,reizei mako,冷泉マコ
object_namesake,object namesake,オブジェクトの同名
junketsu,junketsu,純潔
drawfag,drawfag,drawfag
pink_jacket,pink jacket,ピンクのジャケット
lynette_bishop,lynette bishop,リネット・ビショップ
evangelion:_2.0_you_can_(not)_advance,evangelion: 2.0 you can (not) advance,ヱヴァンゲリヲン新劇場版：破することができます（ない）は、予め
frilled_bow,frilled bow,フリルのついた弓
fennec_(kemono_friends),fennec (kemono friends),フェネック（獣の友人）
koihime_musou,koihime musou,恋姫†無双
tsunako,tsunako,つなこ
shinki,shinki,シンキ
faux_traditional_media,faux traditional media,のどの伝統的なメディア
treble_clef,treble clef,ト音記号
sakamoto_mio,sakamoto mio,坂本美緒
takara_miyuki,takara miyuki,タカラみゆき
long_braid,long braid,長い三つ編み
2010,2010,2010
side-by-side,side-by-side,並んで
persona_3_portable,persona 3 portable,ペルソナ3ポータブル
cleft_of_venus,cleft of venus,金星の裂け目
shell_casing,shell casing,シェルケース
grey_dress,grey dress,グレーのドレス
ikkitousen,ikkitousen,一騎当千
torn_dress,torn dress,引き裂かれたドレス
gaping,gaping,ぽかんと
hand_under_clothes,hand under clothes,服の下に手
minami_(colorful_palette),minami (colorful palette),南（カラフルパレット）
florence_nightingale_(fate/grand_order),florence nightingale (fate/grand order),フィレンツェナイチンゲール（運命/壮大順）
yuzuriha_inori,yuzuriha inori,yuzuriha祈り
closed_fan,closed fan,クローズファン
sailor_moon,sailor moon,セーラームーン
harness,harness,馬具
abukuma_(kantai_collection),abukuma (kantai collection),阿武隈（艦隊コレクション）
food_on_head,food on head,頭の上に食べ物
piano,piano,ピアノ
monster_boy,monster boy,モンスターの男の子
shimazaki_mujirushi,shimazaki mujirushi,島崎無印
ankle_lace-up,ankle lace-up,足首レースアップ
haguro_(kantai_collection),haguro (kantai collection),羽黒（艦隊コレクション）
ise_(kantai_collection),ise (kantai collection),ISE（艦隊コレクション）
upright_straddle,upright straddle,直立ストラドル
obentou,obentou,obentou
aori_(splatoon),aori (splatoon),アオリ（スプラトゥーン）
air,air,空気
flower_(symbol),flower (symbol),花（シンボル）
skates,skates,スケート
transformation,transformation,変換
recording,recording,録音
green_shorts,green shorts,グリーンショートパンツ
weiss_schnee,weiss schnee,ワイスシュネー
nude_filter,nude filter,ヌードフィルタ
surreal,surreal,シュール
hair_beads,hair beads,髪のビーズ
notice_lines,notice lines,予告ライン
index,index,指数
johnny_joestar,johnny joestar,ジョニーjoestar
shimada_arisu,shimada arisu,島田のアリス
aran_sweater,aran sweater,アランセーター
upscaled,upscaled,スケールアップ
armchair,armchair,アームチェア
hatsuyuki_(kantai_collection),hatsuyuki (kantai collection),はつゆき（艦隊コレクション）
ankle_ribbon,ankle ribbon,足首のリボン
fourth_wall,fourth wall,第四壁
print_bikini,print bikini,プリントビキニ
red_capelet,red capelet,赤capelet
parfait,parfait,パフェ
mizuki_makoto,mizuki makoto,水木誠
glowing_weapon,glowing weapon,輝く武器
fairy_tail,fairy tail,フェアリーテイル
kuroki_tomoko,kuroki tomoko,黒木智子
pirate_hat,pirate hat,海賊帽子
hanekawa_tsubasa,hanekawa tsubasa,羽川のつばさ
anime_coloring,anime coloring,アニメの色付け
sideways_mouth,sideways mouth,横口
mini-hakkero,mini-hakkero,ミニ八卦炉
bra_removed,bra removed,ブラジャー削除
god_eater,god eater,神イーター
seamed_legwear,seamed legwear,シームレッグウェア
harusame_(kantai_collection),harusame (kantai collection),春雨（艦隊コレクション）
hamu_koutarou,hamu koutarou,ハム浩太郎
panty_(psg),panty (psg),パンティー（PSG）
akigumo_(kantai_collection),akigumo (kantai collection),akigumo（艦隊コレクション）
moonlight,moonlight,月光
ryougi_shiki,ryougi shiki,ryougi志木
fire_emblem:_fuuin_no_tsurugi,fire emblem: fuuin no tsurugi,火災エンブレム：なしツルギfuuin
hair_pulled_back,hair pulled back,髪が引き戻さ
i-168_(kantai_collection),i-168 (kantai collection),I-168（艦隊コレクション）
nintendo,nintendo,ニンテンドー
sweets,sweets,お菓子
animal_on_shoulder,animal on shoulder,肩の上の動物
capcom,capcom,カプコン
ia_(vocaloid),ia (vocaloid),IA（VOCALOID）
takarada_rikka,takarada rikka,宝田のリッカイン
hotaru_(splatoon),hotaru (splatoon),ほたる（スプラトゥーン）
magazine,magazine,マガジン
fur-trimmed_jacket,fur-trimmed jacket,毛皮トリミングジャケット
labia,labia,陰唇
seagull,seagull,鴎
hair_twirling,hair twirling,ヘアトワリング
back_cutout,back cutout,バックカットアウト
souls_(from_software),souls (from software),（ソフトウェアの）魂
whistle,whistle,ホイッスル
sunburst,sunburst,サンバースト
yowane_haku,yowane haku,弱音ハク
lights,lights,ライト
-9,-9,-9
in_box,in box,ボックス内の
medium_skirt,medium skirt,メディアスカート
convenient_arm,convenient arm,便利なアーム
uchiha_sasuke,uchiha sasuke,うちはサスケ
chewing_gum,chewing gum,チューインガム
holding_bow_(weapon),holding bow (weapon),保持弓（武器）
hanamura_yousuke,hanamura yousuke,花村陽介
sayori,sayori,sayori
last_order,last order,ラストオーダー
sonozaki_mion,sonozaki mion,sonozakiのMION
numbered,numbered,番
aqua_neckwear,aqua neckwear,アクアネックウェアー
shared_food,shared food,共有食品
bardiche,bardiche,がbardiche
puyopuyo,puyopuyo,ぷよぷよは
pussy_juice_stain,pussy juice stain,マンコ汁染色
megaphone,megaphone,メガホン
atago_(azur_lane),atago (azur lane),愛宕（アズールレーン）
final_fantasy_ix,final fantasy ix,ファイナルファンタジーIX
wedding,wedding,結婚式
bb_(fate)_(all),bb (fate) (all),BB（運命）（すべて）
the_legend_of_zelda:_ocarina_of_time,the legend of zelda: ocarina of time,ゼルダの伝説時のオカリナ
pantylines,pantylines,pantylines
spread_ass,spread ass,スプレッド尻
ueyama_michirou,ueyama michirou,上山のmichirou
shako_cap,shako cap,車庫キャップ
puddle,puddle,水たまり
bandage_over_one_eye,bandage over one eye,片目の上に包帯
brush,brush,みがきます
red_sailor_collar,red sailor collar,赤のセーラー襟
sword_art_online:_code_register,sword art online: code register,オンライン剣アート：コードレジスタ
hanasaki_tsubomi,hanasaki tsubomi,花咲つぼみ
sailor_bikini,sailor bikini,セーラービキニ
orange_scrunchie,orange scrunchie,オレンジ色のシュシュ
senjougahara_hitagi,senjougahara hitagi,戦場ヶ原ひたぎ
blood_from_mouth,blood from mouth,口から血
brown_shirt,brown shirt,茶色のシャツ
matou_kariya,matou kariya,間桐刈谷
mabinogi,mabinogi,マビノギ
sleeves_folded_up,sleeves folded up,袖は折り畳みました
tomose_shunsaku,tomose shunsaku,tomose俊作
multicolored_skirt,multicolored skirt,色とりどりのスカート
hair_grab,hair grab,毛のグラブ
magazine_cover,magazine cover,雑誌の表紙
holding_chopsticks,holding chopsticks,保持箸
green_gloves,green gloves,緑の手袋
sanpaku,sanpaku,三白眼
honda_mio,honda mio,ホンダMIO
octopus,octopus,たこ
utawareru_mono,utawareru mono,うたわれるもの
swirl_lollipop,swirl lollipop,スワールロリポップ
gown,gown,ガウン
matsuno_karamatsu,matsuno karamatsu,松野カラマツ
polos_crown,polos crown,ポロの王冠
fat_man,fat man,太った男
goldfish,goldfish,金魚
leaning_on_person,leaning on person,人に寄りかかっ
unicorn_(azur_lane),unicorn (azur lane),ユニコーン（アズールレーン）
tales_of_graces,tales of graces,テイルズオブグレイセス
cropped,cropped,トリミングされました
yunomi,yunomi,yunomi
purple_rose,purple rose,紫のバラ
cow_girl,cow girl,牛の女の子
rice_bowl,rice bowl,ライスボウル
finger_licking,finger licking,指舐め
spear_the_gungnir,spear the gungnir,グングニルを槍
charm_(object),charm (object),魅力（オブジェクト）
tight,tight,タイト
padlock,padlock,南京錠
horse_ears,horse ears,馬の耳
hammer_and_sickle,hammer and sickle,ハンマーと鎌
saten_ruiko,saten ruiko,satenルイ子
keyboard_(instrument),keyboard (instrument),キーボード（楽器）
chitanda_eru,chitanda eru,chitandaのERU
track_pants,track pants,トラックパンツ
kiyohime_(fate/grand_order),kiyohime (fate/grand order),清姫（運命/壮大順）
lucina,lucina,ルキナ
letterman_jacket,letterman jacket,レターマンジャケット
hamster,hamster,ハムスター
minamino_kanade,minamino kanade,南野奏
matsuno_osomatsu,matsuno osomatsu,松野おそ松
see-through_silhouette,see-through silhouette,シースルーシルエット
candy_cane,candy cane,キャンディの杖
diagonal_stripes,diagonal stripes,斜めのストライプ
studded_belt,studded belt,ちりばめられたベルト
my_unit_(fire_emblem_if),my unit (fire emblem if),私のユニット（火エンブレム場合）
middle_finger,middle finger,中指
fog,fog,霧
matsuno_juushimatsu,matsuno juushimatsu,松野juushimatsu
ear_blush,ear blush,耳赤面
unaligned_breasts,unaligned breasts,整列していない胸
covering_eyes,covering eyes,目を覆い
holding_panties,holding panties,保持パンティー
paddle,paddle,パドル
stomach_bulge,stomach bulge,胃の膨らみ
four-leaf_clover,four-leaf clover,4葉のクローバー
saki_achiga-hen,saki achiga-hen,咲achiga編
text_only_page,text only page,テキストのみのページ
holding_wand,holding wand,保持杖
new_game!,new game!,新しいゲーム！
green_vest,green vest,緑色のベスト
kisaragi_(kantai_collection),kisaragi (kantai collection),如月（艦隊コレクション）
holding_spoon,holding spoon,保持スプーン
fire_emblem:_akatsuki_no_megami,fire emblem: akatsuki no megami,火災エンブレム：暁の女神
carrot_necklace,carrot necklace,ニンジンネックレス
tachi-e,tachi-e,たち-E
noel_vermillion,noel vermillion,ノエル・ヴァーミリオン
bunny_hood,bunny hood,バニーフード
tsukudani_(coke-buta),tsukudani (coke-buta),佃煮（コークスブタ）
tree_shade,tree shade,木陰
cow_bell,cow bell,カウベル
arm_belt,arm belt,腕ベルト
arcueid_brunestud,arcueid brunestud,アルクェイドbrunestud
st._gloriana's_school_uniform,st. gloriana's school uniform,ST。 glorianaの学校の制服
blue-framed_eyewear,blue-framed eyewear,青枠のメガネ
mallet,mallet,木づち
signum,signum,シグナム
thigh_grab,thigh grab,太ももグラブ
epic,epic,大作
katsuki_yuuri,katsuki yuuri,香月悠里
creator_connection,creator connection,クリエイター接続
pokemon_frlg,pokemon frlg,ポケモンfrlg
pouring,pouring,注入
matsuno_ichimatsu,matsuno ichimatsu,松野市松
otonashi_kotori,otonashi kotori,音無小鳥
chart,chart,チャート
pretty_(series),pretty (series),かわいい（シリーズ）
pig,pig,豚
grenade,grenade,擲弾
remote_control,remote control,リモコン
raised_eyebrow,raised eyebrow,調達眉
abubu,abubu,abubu
ribbon-trimmed_clothes,ribbon-trimmed clothes,リボントリミング服
female_protagonist_(persona_3),female protagonist (persona 3),女性主人公（ペルソナ3）
souseiseki,souseiseki,蒼星石
paizuri_under_clothes,paizuri under clothes,服の下paizuri
my-hime,my-hime,舞-HiME
my_unit_(fire_emblem:_kakusei),my unit (fire emblem: kakusei),私のユニット（火エンブレム：覚醒）
pudding,pudding,プリン
leather_jacket,leather jacket,革のジャケット
eren_yeager,eren yeager,エレン・イェーガー
producer_(idolmaster_cinderella_girls_anime),producer (idolmaster cinderella girls anime),プロデューサー（アイドルマスターシンデレラガールズアニメ）
drumsticks,drumsticks,ドラムスティック
narmaya_(granblue_fantasy),narmaya (granblue fantasy),narmaya（グランブルーファンタジー）
akizuki_(kantai_collection),akizuki (kantai collection),秋月（艦隊コレクション）
hoto_cocoa,hoto cocoa,ほうとうのココア
sendai_hakurei_no_miko,sendai hakurei no miko,仙台博麗巫女
budget_sarashi,budget sarashi,予算sarashi
the_legend_of_zelda:_breath_of_the_wild,the legend of zelda: breath of the wild,ゼルダの伝説：野生の息吹
orange_(color),orange (color),オレンジ色）
public_nudity,public nudity,公共ヌード
tokyo_7th_sisters,tokyo 7th sisters,東京第七姉妹
stick,stick,スティック
green_bra,green bra,グリーンブラ
finger_gun,finger gun,指銃
on_desk,on desk,机上
tonda,tonda,富田
happy_valentine,happy valentine,ハッピーバレンタインデー
blue_hakama,blue hakama,ブルー袴
seiken_densetsu,seiken densetsu,聖剣伝説
soldier,soldier,兵士
kote,kote,コテ
kanna_kamui,kanna kamui,カンナカムイ
tile_wall,tile wall,タイルの壁
hews_hack,hews hack,hewsハック
minaba_hideo,minaba hideo,minaba秀夫
imminent_vaginal,imminent vaginal,差し迫った膣
free!,free!,自由！
diving_mask,diving mask,潜水マスク
zero_suit,zero suit,ゼロスーツ
white_cape,white cape,白い岬
warship,warship,軍艦
o3o,o3o,O3O
toy,toy,おもちゃ
nyantype,nyantype,nyantype
bandaids_on_nipples,bandaids on nipples,乳首の応急
viktor_nikiforov,viktor nikiforov,ヴィクトル・ニキフォーオブ
yume_nikki,yume nikki,ゆめにっき
chips,chips,チップス
incredibly_absurdres,incredibly absurdres,信じられないほどabsurdres
teenage,teenage,ティーンエイジ
dragon_wings,dragon wings,竜の翼
painting_(object),painting (object),絵画（オブジェクト）
diamond_(symbol),diamond (symbol),ダイヤモンド（シンボル）
dirty,dirty,汚れた
bear_ears,bear ears,クマの耳
tachibana_arisu,tachibana arisu,橘のアリス
white_coat,white coat,白いコート
rockman_(classic),rockman (classic),ロックマン（クラシック）
finger_on_trigger,finger on trigger,引き金に指
shiranui_mai,shiranui mai,不知火舞
walk-in,walk-in,ウォークイン
bowl_hat,bowl hat,ボウル帽子
trumpet,trumpet,トランペット
hirasawa_ui,hirasawa ui,平沢UI
kirby,kirby,カービィ
raimon,raimon,Raimonの
chicken,chicken,チキン
bra_strap,bra strap,ブラジャーのストラップ
pyonta,pyonta,pyonta
print_shirt,print shirt,プリントTシャツ
mima,mima,美馬
holding_animal,holding animal,動物を保持しています
ushiromiya_ange,ushiromiya ange,ushiromiya ANGE
eiyuu_densetsu,eiyuu densetsu,英雄伝説
hayami_kanade,hayami kanade,速水奏
in_bucket,in bucket,バケツで
backwards_hat,backwards hat,後方の帽子
dungeon_and_fighter,dungeon and fighter,ダンジョンや戦闘機
has_bad_revision,has bad revision,悪いのリビジョンを持っています
no_shirt,no shirt,なしシャツ
gyakuten_saiban,gyakuten saiban,逆転裁判
magi_the_labyrinth_of_magic,magi the labyrinth of magic,マギ魔法の迷路
romaji_text,romaji text,ローマ字テキスト
tamako_market,tamako market,たまこまーけっと
hands_on_another's_face,hands on another's face,別の顔に手
takami_chika,takami chika,高見知佳
negligee,negligee,ネグリジェ
matsunaga_kouyou,matsunaga kouyou,松永kouyou
cupcake,cupcake,カップケーキ
untied_panties,untied panties,アンタイドパンティー
cuts,cuts,カット
soul_eater,soul eater,ソウルイーター
shotgun,shotgun,散弾銃
white_pupils,white pupils,白の生徒
fine_art_parody,fine art parody,ファインアートのパロディ
watson_cross,watson cross,ワトソンクロス
multicolored_dress,multicolored dress,色とりどりのドレス
saratoga_(kantai_collection),saratoga (kantai collection),サラトガ（艦隊コレクション）
akeome,akeome,akeome
star_ocean,star ocean,星の海
aegis_(persona),aegis (persona),イージス（ペルソナ）
hand_on_ass,hand on ass,お尻に手
aiming_at_viewer,aiming at viewer,ビューアを目指して
ainu_clothes,ainu clothes,アイヌの服
open_door,open door,オープンドア
lawson,lawson,ローソン
ffm_threesome,ffm threesome,FFM三人組
writing,writing,書き込み
typo,typo,打ち間違え
prosthesis,prosthesis,補綴物
d-pad,d-pad,Dパッド
pointing_at_self,pointing at self,自己を指し
gloom_(expression),gloom (expression),暗がり（表現）
green_kimono,green kimono,緑の着物
nipple_rings,nipple rings,ニップルリング
gamagoori_ira,gamagoori ira,蒲郡IRA
maru-yu_(kantai_collection),maru-yu (kantai collection),丸湯（艦隊コレクション）
pinstripe_pattern,pinstripe pattern,ピンストライプパターン
houtengeki,houtengeki,houtengeki
spill,spill,溢流
new_danganronpa_v3,new danganronpa v3,新しいダンガンロンパシリーズv3の
chick,chick,ひよこ
trick_or_treat,trick or treat,トリック・オア・トリート
to_love-ru_darkness,to love-ru darkness,愛-ruの闇へ
scar_on_cheek,scar on cheek,頬の傷
arm_around_waist,arm around waist,腰周りのアーム
energy,energy,エネルギー
sweating_profusely,sweating profusely,やたらと発汗
suzumiya_haruhi_no_shoushitsu,suzumiya haruhi no shoushitsu,shoushitsuなし涼宮ハルヒ
makoto_nanaya,makoto nanaya,誠nanaya
if_they_mated,if they mated,彼らが交尾場合
baggy_pants,baggy pants,バギーパンツ
highlights,highlights,ハイライト
diamond_(shape),diamond (shape),ダイヤモンド（形状）
path,path,道
michishio_(kantai_collection),michishio (kantai collection),michishio（艦隊コレクション）
son_gokuu,son gokuu,息子の悟空
arm_around_shoulder,arm around shoulder,肩周りのアーム
grey_gloves,grey gloves,灰色の手袋
shiratsuyu_(kantai_collection),shiratsuyu (kantai collection),shiratsuyu（艦隊コレクション）
gym_shorts,gym shorts,ブルマ
pizza,pizza,ピザ
orange_bikini,orange bikini,オレンジ色のビキニ
veranda,veranda,縁側
shaved_ice,shaved ice,かき氷
power_suit,power suit,パワースーツ
bandaid_on_pussy,bandaid on pussy,猫のバンドエイド
when_you_see_it,when you see it,あなたがそれを見た時
final_fantasy_v,final fantasy v,ファイナルファンタジーV
rensouhou-kun,rensouhou-kun,rensouhouくん
cure_peace,cure peace,硬化平和
dancer,dancer,踊り子
hatsune_miku_(append),hatsune miku (append),初音ミク（APPEND）
yuki_miku,yuki miku,結城ミク
nachi_(kantai_collection),nachi (kantai collection),那智（艦隊コレクション）
collage,collage,コラージュ
tama_(kantai_collection),tama (kantai collection),多摩（艦隊コレクション）
elizabeth_bathory_(fate),elizabeth bathory (fate),エリザベスBATHORY（運命）
neck_ruff,neck ruff,首のラフ
cameo,cameo,カメオ
yellow_footwear,yellow footwear,黄色の靴
pani_poni_dash!,pani poni dash!,ぱにぽにダッシュ！
satchel,satchel,鞄
crease,crease,折り目
opaque_glasses,opaque glasses,不透明なメガネ
pokemon_go,pokemon go,ポケモンGO
circle,circle,サークル
matsuno_choromatsu,matsuno choromatsu,松野choromatsu
senjou_no_valkyria,senjou no valkyria,戦場何戦場のヴァルキュリアません
lying_on_person,lying on person,人の上に横たわっています
bad_proportions,bad proportions,悪い割合
muvluv,muvluv,マブラヴオルタネイティヴ
yang_xiao_long,yang xiao long,陽小龍
breast_bondage,breast bondage,乳房縛り
cigar,cigar,葉巻
pinching,pinching,ピンチ
inazuma_eleven_go_chrono_stone,inazuma eleven go chrono stone,11イナズマクロノ石を行きます
beamed_sixteenth_notes,beamed sixteenth notes,梁16分音符
bikini_aside,bikini aside,ビキニさておき
mask_removed,mask removed,マスク取り外し
goggles_on_headwear,goggles on headwear,帽子のゴーグル
viewfinder,viewfinder,ファインダー
dragon_quest_iv,dragon quest iv,ドラゴンクエストIV
shared_umbrella,shared umbrella,共有傘
erection_under_clothes,erection under clothes,服の下勃起
